COLEGIO_NAME,DONE
EOEP ATEN-TEMPR EQUIPO ATENCION,0
EOEP GENERAL EQUIPO GENERAL LATINA,0
CP INF-PRI ARAVACA,0
CP INF-PRI DANIEL VAZQUEZ DIAZ,0
CP INF-PRI EE.UU. DE AMERICA-HUARTE,0
CP INF-PRI ESCUELAS BOSQUE,0
CP INF-PRI EUGENIO MARIA DE HOSTOS,0
CP INF-PRI FERNANDEZ MORATIN,0
CP INF-PRI LEPANTO,0
CP INF-PRI PORTUGAL,0
CP INF-PRI ROSA LUXEMBURGO,0
CEPA MONCLOA,0
"A. HOSP. CATEDRA DE PEDIATRIA,",0
IES CIUDAD DE LOS POETAS,0
IES EL LAGO,0
IES ESCUELA SUPERIOR DE HOSTELERIA Y,0
IES ORTEGA Y GASSET,0
IES VIRGEN DE LA PALOMA,0
CP IFP ESCUELA DE LA VID,0
EOEP GENERAL EQUIPO GENERAL,0
EEI GAIA,0
CP INF-PRI DOCTOR CONDE ARRUGA,0
CP INF-PRI FONTARRON,0
CP INF-PRI FRANCISCO DE LUIS,0
CP INF-PRI MANUEL SAINZ DE VICUÑA,0
CP INF-PRI MARTINEZ MONTAÑES,0
CP INF-PRI MENENDEZ PIDAL,0
CP INF-PRI PASAMONTE,0
CP INF-PRI PIO BAROJA,0
CP INF-PRI REAL ARMADA,0
CP INF-PRI REGIMIENTO INMEMORIAL DEL,0
CEPA CULTURAL MORATALAZ,0
UFIL SIERRA PALOMERAS,0
IES CARLOS MARIA RODRIGUEZ DE,0
IES FELIPE II,0
IES JUANA DE CASTILLA,0
IES MARIANA PINEDA,0
IES MORATALAZ,0
IES REY PASTOR,0
EOEP ATEN-TEMPR EQUIPO ATENCION,0
EOEP GENERAL EQUIPO GENERAL,0
EEI ALFAR,0
EEI EL MADROÑAL,0
EEI LOS DELFINES,0
EEI LOS GIRASOLES,0
EEI RETAMAR,0
EEI ZALEO,0
CP INF-PRI AGUSTINA DIEZ,0
CP INF-PRI AMOS ACERO,0
CP INF-PRI ARAGON,0
CP INF-PRI ASTURIAS,0
CP INF-PRI CARLOS SAINZ DE LOS,0
CP INF-PRI CONCHA ESPINA,0
CP INF-PRI DOCTOR TOLOSA LATOUR,0
CP INF-PRI EDUARDO ROJO,0
CP INF-PRI EL MADROÑO,0
CP INF-PRI FRANCISCO RUANO,0
CP INF-PRI FRAY JUNIPERO SERRA,0
CP INF-PRI GARCIA MORENTE,0
CP INF-PRI GINER DE LOS RIOS,0
CP INF-PRI JAIME BALMES,0
CP INF-PRI JAVIER DE MIGUEL,0
CP INF-PRI JOSE MARIA DE PEREDA,0
CP INF-PRI LA RIOJA,0
CP INF-PRI MADRID-SUR,0
CP INF-PRI MANUEL NUÑEZ DE ARENAS,0
CP INF-PRI MESONERO ROMANOS,0
CP INF-PRI PADRE MARIANA,0
CP INF-PRI PALOMERAS BAJAS,0
CP INF-PRI SAN PABLO,0
CP INF-PRI SANTO DOMINGO,0
CP INF-PRI VIRGEN DEL CERRO,0
CEPA ENTREVIAS,0
CEPA LA ALBUFERA,0
UFIL TIERRUCA,0
IES ANTONIO DOMINGUEZ ORTIZ,0
IES ARCIPRESTE DE HITA,0
IES MADRID-SUR,0
IES NUMANCIA,0
IES PALOMERAS VALLECAS,0
IES TIRSO DE MOLINA,0
IES VALLECAS I,0
IES VALLECAS-MAGERIT,0
EOEP ATEN-TEMPR EQUIPO ATENCION,0
EOEP GENERAL EQUIPO GENERAL PUENTE,0
CP INF-PRI CIUDAD DE ROMA,0
CP INF-PRI ESCUELAS AGUIRRE,0
CP INF-PRI FRANCISCO DE QUEVEDO,0
CP INF-PRI JOSE CALVO SOTELO,0
CP INF-PRI NUESTRA SEÑORA DE LA,0
CP INF-PRI SAN ISIDORO,0
A. HOSP. HOSPITAL DEL NIÑO JESUS,0
A. HOSP. HOSPITAL GREGORIO MARAÑON,0
IES ISABEL LA CATOLICA,0
IES LA ESTRELLA,0
IES PACIFICO,0
EOEP GENERAL EQUIPO GENERAL RETIRO-,0
CP INF-PRI AMADOR DE LOS RIOS,0
CP INF-PRI GUINDALERA,0
CP INF-PRI REINA VICTORIA,0
CEPA JOAQUIN SOROLLA,0
IES AVENIDA DE LOS TOREROS,0
IES BEATRIZ GALINDO,0
EEI ORI-ORI,0
CP INF-PRI ALBERTO ALCOCER,0
CP INF-PRI ALVARO DE BAZAN,0
CP INF-PRI CARMEN CABEZUELO,0
CP INF-PRI CIUDAD PEGASO,0
CP INF-PRI EL SOL,0
CP INF-PRI JULIAN MARIAS,0
CP INF-PRI LA ALAMEDA,0
CP INF-PRI MARIA MOLINER,0
CP INF-PRI MARIANO JOSE DE LARRA,0
CP INF-PRI MARQUES DE SUANZES,0
CP INF-PRI PADRE COLOMA,0
CP INF-PRI RAMON MARIA DEL VALLE,0
CP INF-PRI REPUBLICA DE CHILE,0
CP INF-PRI REPUBLICA DE PANAMA Nº 1,0
CP EE FUNDACION GOYENECHE,0
CEPA CANILLEJAS,0
CEPA LAS ROSAS,0
IES ALFREDO KRAUS,0
